date,AboveMcClure.Gage Inflow,EmbudoCreekAtDixon.Gage Inflow,Galisteo.Gage Inflow,LittleNavajoRiver.Inflow,NavajoRiver.Inflow,NorthClearCreekBelowContinentalReservoir.Gage Inflow,NorthFloodwayChannel.Gage Inflow,NrJemez.Gage Inflow,PlatoroInflow.Inflow,RedRiverBlwFishHatchery.Gage Inflow,RioBlanco.Inflow,RioLosPinosAtOrtiz.Gage Inflow,RioPuebloDeTaosAtLosCordovas.Gage Inflow,RioPuerco.Gage Inflow,RioSanAntonioAtOrtiz.Gage Inflow,SouthFork.Gage Inflow,ThirtyMileBridge.Gage Inflow,TijerasArroyo.Gage Inflow,"RIO CHAMA NEAR LA PUENTE, NM","RIO OJO CALIENTE AT LA MADERA, NM"
1980-01-19,-1.3840362,-0.015476509,4.164012,-3.4645452,-5.1126933,-2.536,5.562143,-1.1753463,-9.742429,-0.21010403,-5.3920293,-4.293832,0.8777359,5.7560954,-3.4622736,-5.9244018,-4.1866975,5.4878144,-3.0933127,-0.6691392
1980-01-20,0.8460241,2.70468,4.2158527,0.18509099,-1.1054115,-1.6133333,5.988214,3.8408027,-3.5604646,3.0453758,-0.8722464,-2.0992177,3.6673448,6.0410843,-1.7937889,-0.85781753,-1.1197009,5.6506886,-1.0485437,0.6781031
1980-01-21,4.9972286,5.2675176,8.331233,1.230909,-0.683616,-4.2951283,9.099821,7.5182457,-5.0443573,4.4660926,-0.8910507,-0.6569208,5.981994,7.468412,0.6489153,-4.4851294,-2.4966168,8.952365,1.0766587,3.0867693
1980-01-22,-0.76975906,-0.13177101,4.7191787,-2.9930909,-4.352419,-6.0012307,5.4826784,0.44809136,-10.543535,0.50757223,-5.5693116,-0.11357072,0.4421428,4.543967,1.26422,-9.322934,-5.348665,5.843967,0.43469295,2.2923963
1980-01-23,4.4856625,5.9713087,6.397985,-5.0476365,-6.999277,-2.2666154,6.256607,4.249981,-11.716999,5.4403234,-6.919819,-3.923069,6.4374933,4.5682483,-1.5422733,-7.734229,-0.6832221,6.0485177,-3.4763398,2.1405473
1980-01-24,9.108615,9.236841,9.997826,1.1083636,-0.13952619,3.0764618,8.956785,7.233976,-0.4807857,7.9009366,1.1459059,-1.6292579,9.24973,6.2844424,-0.120371476,0.9503946,3.7574685,8.919266,-1.1235554,3.5730343
1980-01-25,7.346506,6.2159743,9.857477,0.21363637,-0.8604987,0.6134872,10.130178,5.2812214,-2.2045355,3.203156,-0.18731885,-1.1660582,4.7446766,8.230319,-0.2895988,-0.4647965,-1.3271347,10.214895,-0.48038548,2.9337406
1980-01-26,4.9276505,5.150953,8.6466675,-0.04345457,-0.5662095,-2.2125642,10.325,2.3155193,-1.3720357,2.9490056,-0.47905797,-0.855667,4.303881,8.142292,-0.61285293,-0.23361282,-5.024223,10.583189,-0.29665872,2.0604622
1980-01-27,1.330241,4.229815,8.636078,-1.669091,-2.7281547,-5.924718,9.461608,2.5840337,-3.5499642,4.7464743,-2.135181,-2.940301,5.860782,7.980293,-1.7604164,-1.5208138,-7.468608,9.56988,-2.023094,1.9383104
1980-01-28,1.3279518,4.1844163,8.200787,-0.7394546,-1.2817456,-3.9555895,9.105536,0.86061543,-1.4290358,3.6979423,-1.0072464,-1.812728,4.792601,6.515237,-0.9859435,-0.08921082,-5.1486306,9.289685,-1.1058829,2.035223
1980-01-29,0.5111445,3.1377811,8.428431,-3.5194547,-4.84384,-1.0754359,10.150001,0.80316347,-7.574537,3.2011673,-4.370036,-4.891735,4.3628035,8.289773,-4.030847,-4.029889,-2.1100001,10.5748205,-4.169605,-0.49310315
