date,obs,med
2016-04-22,1.508666738,11.132182
2016-04-23,9.874914462,11.348126
2016-04-24,3.291640722,15.044624
2016-04-25,0.411454705,13.368647
2016-04-26,0.0,8.1778345
2016-04-27,0.0,9.385259
2016-04-28,0.0,9.278011
2016-04-29,0.960059951,5.1877494
2016-04-30,8.503393642,0.15358737
2016-05-01,6.446120117,2.7192922
2016-05-02,5.348914247,0.06291339
2016-05-03,5.348914247,112.46761
2016-05-04,5.760367412,96.5357
2016-05-05,1.920119902,65.85921
2016-05-06,0.137151312,35.69061
2016-05-07,0.0,19.810354
2016-05-08,0.0,14.794461
2016-05-09,0.0,14.505517
2016-05-10,0.0,8.010604
2016-05-11,0.0,10.814111
2016-05-12,0.411454705,7.987399
2016-05-13,2.057273525,8.058729
2016-05-14,0.822906328,11.645225
2016-05-15,0.137151312,5.6504364
2016-05-16,0.0,2.5187407
2016-05-17,0.137151312,1.2769608
2016-05-18,0.960059951,7.1179957
2016-05-19,5.211760625,13.099586
2016-05-20,12.75509432,21.881046
2016-05-21,10.149214,28.59603
2016-05-22,4.526000215,21.645763
2016-05-23,1.508666738,15.616279
2016-05-24,0.0,11.864294
2016-05-25,0.0,10.255084
2016-05-26,0.0,9.727392
2016-05-27,0.0,14.995494
2016-05-28,0.0,14.998269
2016-05-29,0.0,8.274767
2016-05-30,0.0,5.41815
2016-05-31,0.0,5.4866095
2016-06-01,0.0,7.1489954
2016-06-02,0.0,12.823262
2016-06-03,0.0,5.4055333
2016-06-04,0.0,2.5029364
2016-06-05,0.0,0.0
2016-06-06,0.0,2.9449763
2016-06-07,0.0,2.7350168
2016-06-08,0.0,0.5420877
2016-06-09,0.0,1.6736267
2016-06-10,0.0,0.0
2016-06-11,0.0,0.017640442
2016-06-12,0.0,1.3199854
2016-06-13,0.0,0.25748238
2016-06-14,0.0,0.15837595
2016-06-15,0.0,4.1914916
2016-06-16,0.0,4.618139
2016-06-17,0.0,2.7289526
2016-06-18,0.0,0.9812212
2016-06-19,0.0,1.3835775
2016-06-20,0.0,0.0
2016-06-21,0.0,0.0
2016-06-22,0.0,0.0
2016-06-23,0.0,0.21014574
2016-06-24,0.0,2.1160817
2016-06-25,0.0,0.0
2016-06-26,0.0,0.0
2016-06-27,0.0,0.0
2016-06-28,0.0,0.0
2016-06-29,0.0,0.0
2016-06-30,0.0,0.0
2016-07-01,0.0,0.0
2016-07-02,0.0,14.9810915
2016-07-03,0.0,18.76008
2016-07-04,0.0,10.296153
2016-07-05,0.0,4.0122905
2016-07-06,0.0,0.07350543
2016-07-07,0.0,0.0
2016-07-08,0.0,0.0
2016-07-09,0.0,0.0
2016-07-10,0.0,0.0
2016-07-11,0.0,0.0
2016-07-12,0.0,0.0
2016-07-13,0.0,0.0
2016-07-14,0.0,0.0
2016-07-15,0.0,0.0
2016-07-16,0.0,0.0
2016-07-17,0.0,0.0
2016-07-18,0.0,0.0
2016-07-19,0.0,1.4045058
2016-07-20,0.0,9.1458025
2016-07-21,0.0,7.3205423
2016-07-22,0.0,4.9985304
2016-07-23,0.0,0.0
2016-07-24,0.0,0.0
2016-07-25,0.0,4.9108562
2016-07-26,0.0,9.340619
2016-07-27,0.0,17.024698
2016-07-28,0.0,16.061628
2016-07-29,0.0,5.0968866
2016-07-30,0.0,5.6334224
2016-07-31,0.0,9.37289
2016-08-01,0.0,8.5410595
2016-08-02,0.0,14.954108
2016-08-03,0.0,18.106659
2016-08-04,0.0,25.973705
2016-08-05,0.0,39.04993
2016-08-06,0.0,52.37599
2016-08-07,0.0,56.2355
2016-08-08,92.9887541,55.86808
2016-08-09,202.9843032,113.97668
2016-08-10,234.5291588,113.32905
2016-08-11,81.46802698,80.861305
2016-08-12,4.114547051,75.90368
2016-08-13,0.137151312,34.51365
