date,obs,pred
2016-04-17,0.0,20.548527
2016-04-18,0.0,32.9091
2016-04-19,0.0,44.07139
2016-04-20,0.0,38.375744
2016-04-21,0.0,25.504568
2016-04-22,1.5086667382349432,21.776102
2016-04-23,9.874914462152208,20.70294
2016-04-24,3.2916407221820876,16.157148
2016-04-25,0.41145470505306037,16.17784
2016-04-26,0.0,12.501892
2016-04-27,0.0,14.73807
2016-04-28,0.0,16.0706
2016-04-29,0.9600599512045989,9.468359
2016-04-30,8.503393642379315,3.3177185
2016-05-01,6.446120117114027,0.0
2016-05-02,5.348914247447375,2.737091
2016-05-03,5.348914247447375,117.196686
2016-05-04,5.76036741162163,109.55194
2016-05-05,1.9201199024091906,73.43059
2016-05-06,0.13715131153788462,45.172703
2016-05-07,0.0,26.172958
2016-05-08,0.0,20.755169
2016-05-09,0.0,20.765959
2016-05-10,0.0,20.609001
2016-05-11,0.0,20.470884
2016-05-12,0.41145470505306037,18.86709
2016-05-13,2.0572735252652947,19.010757
2016-05-14,0.8229063283484948,18.291061
2016-05-15,0.13715131153788462,17.264406
2016-05-16,0.0,12.128407
2016-05-17,0.13715131153788462,9.683874
2016-05-18,0.9600599512045989,22.862225
2016-05-19,5.211760624591278,33.63156
2016-05-20,12.755094315766002,35.63434
2016-05-21,10.149214003470362,26.436111
2016-05-22,4.52600021470483,20.272142
2016-05-23,1.5086667382349432,17.16852
2016-05-24,0.0,16.314669
2016-05-25,0.0,16.42409
2016-05-26,0.0,16.612158
2016-05-27,0.0,16.67231
2016-05-28,0.0,17.443222
2016-05-29,0.0,18.495346
2016-05-30,0.0,16.623022
2016-05-31,0.0,15.687302
2016-06-01,0.0,15.660938
2016-06-02,0.0,25.34917
2016-06-03,0.0,20.491682
2016-06-04,0.0,12.144831
2016-06-05,0.0,7.0497932
2016-06-06,0.0,14.014446
2016-06-07,0.0,9.804556
2016-06-08,0.0,3.7831116
2016-06-09,0.0,5.772217
2016-06-10,0.0,2.6150322
2016-06-11,0.0,3.1711845
2016-06-12,0.0,4.8657036
2016-06-13,0.0,3.4695358
2016-06-14,0.0,3.314766
2016-06-15,0.0,8.4344425
2016-06-16,0.0,7.3629265
2016-06-17,0.0,6.310478
2016-06-18,0.0,4.7973633
2016-06-19,0.0,5.2554092
2016-06-20,0.0,0.86619186
2016-06-21,0.0,0.2904091
2016-06-22,0.0,0.49259186
2016-06-23,0.0,0.0
2016-06-24,0.0,9.663235
2016-06-25,0.0,5.8513527
2016-06-26,0.0,2.3655434
2016-06-27,0.0,3.9702072
2016-06-28,0.0,5.5342445
2016-06-29,0.0,3.02034
2016-06-30,0.0,2.5803566
2016-07-01,0.0,8.388304
2016-07-02,0.0,39.61572
2016-07-03,0.0,41.103607
2016-07-04,0.0,23.772911
2016-07-05,0.0,9.88032
2016-07-06,0.0,3.641388
2016-07-07,0.0,1.4180412
2016-07-08,0.0,1.4881325
2016-07-09,0.0,0.4389763
2016-07-10,0.0,0.821228
2016-07-11,0.0,0.0
2016-07-12,0.0,0.0
2016-07-13,0.0,0.49964523
2016-07-14,0.0,0.085819244
2016-07-15,0.0,0.0
2016-07-16,0.0,0.0
2016-07-17,0.0,0.0
2016-07-18,0.0,0.0
2016-07-19,0.0,3.681694
2016-07-20,0.0,16.695356
2016-07-21,0.0,15.284597
2016-07-22,0.0,9.61953
2016-07-23,0.0,2.8014297
2016-07-24,0.0,3.2897224
2016-07-25,0.0,18.61244
2016-07-26,0.0,28.305866
2016-07-27,0.0,44.260227
2016-07-28,0.0,42.358685
2016-07-29,0.0,19.664978
2016-07-30,0.0,20.749325
2016-07-31,0.0,28.865955
2016-08-01,0.0,27.219604
2016-08-02,0.0,40.589603
2016-08-03,0.0,47.088383
2016-08-04,0.0,63.50238
2016-08-05,0.0,91.09909
2016-08-06,0.0,118.751526
2016-08-07,0.0,126.81326
2016-08-08,92.98875409671832,125.807236
2016-08-09,202.98430318258937,93.16162
2016-08-10,234.52915876706112,92.90103
2016-08-11,81.46802697786912,65.13138
2016-08-12,4.114547050530582,63.7613
2016-08-13,0.13715131153788462,40.549385
2016-08-14,0.13715131153788462,22.180428
2016-08-15,0.0,17.185022
2016-08-16,0.0,8.300554
2016-08-17,9.189154052265764,3.4455452
2016-08-18,18.378308104531524,7.6330986
2016-08-19,4.388846591848733,28.419472
2016-08-20,2.0572735252652947,39.891335
2016-08-21,0.13715131153788462,39.282585
2016-08-22,0.0,55.944267
2016-08-23,30.85910287897937,63.018448
2016-08-24,3.8402398048183812,78.705345
2016-08-25,18.241154481675427,73.65485
2016-08-26,198.8697561320588,65.50079
