date,obs,lower,med,upper,basin_id
2017-01-01,0.137151312,0.0,4.097416043281555,26.714843988418576,0
2017-01-02,0.137151312,0.0,1.8001424074172974,29.806870651245113,0
2017-01-03,0.137151312,0.0,3.7103742361068726,36.238364696502664,0
2017-01-04,0.137151312,0.0,1.7239187359809875,28.379469347000107,0
2017-01-05,0.0,0.0,3.662069320678711,19.81950945854187,0
2017-01-06,0.0,0.0,3.6440858840942383,26.826723337173455,0
2017-01-07,0.0,0.0,0.5886037945747375,17.323820638656603,0
2017-01-08,0.0,0.0,2.572018265724182,23.44313888549804,0
2017-01-09,0.0,0.0,0.0,19.88693237304686,0
2017-01-10,0.0,0.0,1.9121741652488708,27.667340755462636,0
2017-01-11,0.0,0.0,4.04230809211731,22.441324710845937,0
2017-01-12,0.0,0.0,2.0246203541755676,23.391257905960067,0
2017-01-13,0.0,0.0,1.6252496242523193,18.32843418121336,0
2017-01-14,0.0,0.0,0.0,4.5556968450546265,0
2017-01-15,3.840239805,0.0,5.2960381507873535,32.896089076995835,0
2017-01-16,34.56218906,0.0,0.8886295855045319,7.753891181945795,0
2017-01-17,34.1507359,0.0,59.10893249511719,357.427260589599,0
2017-01-18,21.12134204,0.0,52.18902015686035,416.96558227539026,0
2017-01-19,34.42504314,0.0,53.63841438293457,286.15465545654297,0
2017-01-20,35.11079585,0.0,42.54147720336914,335.92107086181636,0
2017-01-21,32.9163764,0.0,90.2848892211914,332.87421264648435,0
2017-01-22,30.85910288,0.0,58.88295555114746,225.52732658386222,0
2017-01-23,26.33309496,0.0,53.088775634765625,316.99136276245065,0
2017-01-24,19.20121443,0.0,38.15321922302246,255.25258636474604,0
2017-01-25,13.44085473,0.0,43.224761962890625,138.4865955352782,0
2017-01-26,4.388846592,0.0,27.694138526916504,93.13137073516833,0
2017-01-27,2.880179854,0.0,4.465733289718628,41.52911663055416,0
2017-01-28,3.703093886,0.0,5.93676495552063,37.83079624176023,0
2017-01-29,0.685758099,0.0,12.898748874664307,36.97566452026365,0
2017-01-30,0.685758099,0.0,7.604104518890381,26.94416489601134,0
2017-01-31,0.548606017,0.0,2.819268822669983,25.093832540512054,0
2017-02-01,0.822906328,0.0,6.019195556640625,25.193639850616456,0
2017-02-02,0.411454705,0.0,4.661891460418701,24.100972318649248,0
2017-02-03,0.274303394,0.0,5.053179740905762,22.530429649353017,0
2017-02-04,0.274303394,0.0,2.2703994512557983,24.977350521087644,0
2017-02-05,0.548606017,0.0,2.5710707902908325,23.09708442687986,0
2017-02-06,0.548606017,0.0,2.2005341053009033,22.439964389801023,0
2017-02-07,0.274303394,0.0,2.6783738136291504,28.479043292999258,0
2017-02-08,0.274303394,0.0,0.5406865477561951,25.29058628082275,0
2017-02-09,0.137151312,0.0,0.0,20.43000154495239,0
2017-02-10,0.137151312,0.0,1.3354950547218323,23.5335839748382,0
2017-02-11,0.137151312,0.0,3.0133265256881714,18.80963749885558,0
2017-02-12,0.137151312,0.0,0.31819115579128265,2.593732860684384,0
2017-02-13,0.137151312,0.0,1.7034000158309937,19.97781357765197,0
2017-02-14,0.137151312,0.0,3.820064663887024,34.78490610122677,0
2017-02-15,0.137151312,0.0,5.579124927520752,72.46752262115471,0
2017-02-16,0.137151312,0.0,2.304298996925354,34.42377529144286,0
2017-02-17,0.137151312,0.0,3.7637845277786255,29.189542436599705,0
2017-02-18,0.822906328,0.0,2.5418381690979004,21.93047637939449,0
2017-02-19,0.960059951,0.0,3.8584299087524414,32.08302044868464,0
2017-02-20,0.685758099,0.0,6.692781448364258,35.05468893051143,0
2017-02-21,3.291640722,0.0,0.8298957347869873,29.209350204467764,0
2017-02-22,4.526000215,0.0,0.0,30.502211856842038,0
2017-02-23,1.097213574,0.0,7.827486991882324,40.05470428466796,0
2017-02-24,0.137151312,0.0,2.548149347305298,16.619195127487178,0
2017-02-25,0.0,0.0,0.547825962305069,13.096140503883351,0
2017-02-26,0.0,0.0,1.6148186326026917,18.241372013092036,0
2017-02-27,0.0,0.0,1.1027171611785889,11.795645093917843,0
2017-02-28,0.0,0.0,2.9710471630096436,21.62580680847167,0
2017-03-01,0.0,0.0,2.9321011304855347,27.438759088516203,0
2017-03-02,0.0,0.0,3.9399935007095337,22.783559322357167,0
2017-03-03,0.0,0.0,1.6927076578140259,24.344667053222626,0
2017-03-04,0.0,0.0,3.418171763420105,21.514568996429432,0
2017-03-05,0.0,0.0,3.435283660888672,20.196777725219714,0
2017-03-06,0.0,0.0,1.753256380558014,19.381678771972652,0
2017-03-07,0.0,0.0,2.2841250896453857,16.904509782791127,0
2017-03-08,0.0,0.0,0.0,16.655102372169456,0
2017-03-09,0.0,0.0,0.7768264412879944,15.413655614852882,0
2017-03-10,0.0,0.0,0.8145594596862793,18.64779157638548,0
2017-03-11,0.0,0.0,0.0,16.064409637451163,0
2017-03-12,0.0,0.0,0.5286939144134521,15.012628507614128,0
2017-03-13,0.0,0.0,1.3827643692493439,20.031229066848734,0
2017-03-14,0.0,0.0,1.9005539417266846,18.1540368556976,0
2017-03-15,0.0,0.0,0.8259602785110474,15.964212965965261,0
2017-03-16,0.0,0.0,1.1186407804489136,16.67214000225066,0
2017-03-17,0.0,0.0,2.9486992359161377,18.460818195343,0
2017-03-18,0.0,0.0,2.4114190340042114,18.05537176132202,0
2017-03-19,0.0,0.0,2.526368260383606,18.76031193733215,0
2017-03-20,0.0,0.0,4.419225454330444,21.71751670837401,0
2017-03-21,0.0,0.0,3.0825865268707275,19.87208409309387,0
2017-03-22,0.0,0.0,0.8863095045089722,15.969692420959467,0
2017-03-23,0.0,0.0,0.0,15.168696713447568,0
2017-03-24,0.0,0.0,1.3432430028915405,28.702700424194322,0
2017-03-25,0.0,0.0,3.261491298675537,33.06899251937866,0
2017-03-26,0.0,0.0,3.127953886985779,33.12726678848263,0
2017-03-27,0.0,0.0,1.851753294467926,19.207752037048326,0
2017-03-28,0.0,0.0,3.529562830924988,13.939492082595823,0
2017-03-29,0.0,0.0,0.4548391103744507,29.81375308036804,0
2017-03-30,0.0,0.0,8.255669116973877,38.518131160736054,0
2017-03-31,0.0,0.0,5.146184206008911,30.20468301773071,0
2017-04-01,0.0,0.0,1.0182876288890839,13.389316511154172,0
2017-04-02,0.0,0.0,3.522775173187256,28.561617994308463,0
2017-04-03,0.0,0.0,4.413029670715332,31.560098409652703,0
2017-04-04,0.0,0.0,4.081505656242371,38.4543698310852,0
2017-04-05,0.548606017,0.0,2.2480673789978027,26.164631795883135,0
2017-04-06,2.468726689,0.0,3.3539371490478516,30.66224951744077,0
2017-04-07,2.880179854,0.0,1.0392329692840576,29.279381322860708,0
2017-04-08,2.605880312,0.0,4.852364778518677,33.38385210037231,0
2017-04-09,1.645820361,0.0,3.1055827140808105,32.79260292053222,0
2017-04-10,6.308974199,0.0,1.712018072605133,20.946018266677843,0
2017-04-11,5.211760625,0.0,4.645899057388306,40.89138784408568,0
2017-04-12,4.937453379,0.0,11.775397777557373,47.83990831375117,0
2017-04-13,4.251700673,0.0,6.256783723831177,33.58345098495483,0
2017-04-14,3.291640722,0.0,8.388827800750732,39.8952118873596,0
2017-04-15,4.937453379,0.0,1.8025790452957153,37.05778646469116,0
2017-04-16,3.840239805,0.0,8.26858139038086,45.86251783370972,0
2017-04-17,1.234367197,0.0,5.581007480621338,42.69986324310302,0
2017-04-18,0.548606017,0.0,3.9051425457000732,28.321526813507045,0
2017-04-19,0.274303394,0.0,0.38698577880859375,25.192466831207266,0
2017-04-20,0.274303394,0.0,4.547053098678589,19.110038805007928,0
2017-04-21,11.52072712,0.0,0.0,27.55106158256528,0
2017-04-22,15.63527417,0.0,14.81412935256958,75.10071830749511,0
2017-04-23,20.29842801,0.0,18.57703685760498,73.72727699279764,0
2017-04-24,32.09346237,0.0,28.34387493133545,87.51492271423339,0
2017-04-25,41.83122321,0.0,25.376524925231934,75.44233093261718,0
2017-04-26,46.22007751,0.0,54.237464904785156,134.46585273742673,0
2017-04-27,42.65413724,0.0,49.84084510803223,128.87290267944337,0
2017-04-28,42.51698362,0.0,29.181468963623047,72.83215255737304,0
2017-04-29,48.00304379,0.0,33.08155822753906,81.49944324493406,0
2017-04-30,44.98571031,0.0,54.09543228149414,122.04396400451658,0
